_widgetName,_source,city,location,time range,date,Lat,Long
DUI Checkpoints,DUI Checkpoints,San Gabriel,E Valley Blvd and S San Gabriel Blvd,,Sat Aug 27 2016,34.080162,-118.090734
DUI Checkpoints,DUI Checkpoints,South Gate,Firestone Blvd and Atlantic Ave,,Sat Aug 27 2016,33.951849,-118.183052
DUI Checkpoints,DUI Checkpoints,Littlerock,Pearblossom Hwy and 82nd St E,,Sat Aug 27 2016,34.521107,-117.983671
DUI Checkpoints,DUI Checkpoints,Alhambra,S Garfield Ave and W Commonwealth Ave,,Fri Sep 16 2016,34.092146,-118.124733
DUI Checkpoints,DUI Checkpoints,Malibu,Pacific Coast Hwy and Webb Way,7pm To 2am,Fri Sep 16 2016,34.034763,-118.691173
DUI Checkpoints,DUI Checkpoints,Los Angeles,Hollywood Blvd and N Gower St - Hollywood,8pm To 1am,Fri Sep 16 2016,34.101666,-118.322361
DUI Checkpoints,DUI Checkpoints,Gardena,W Roscans Ave and S Menlo Ave,7pm To 12am,Fri Sep 16 2016,33.901895,-118.289319
DUI Checkpoints,DUI Checkpoints,Los Angeles,S Main St and W Imperial Hwy,8pm To 2am,Fri Sep 16 2016,33.931023,-118.273884
DUI Checkpoints,DUI Checkpoints,Pomona,N Towne Ave and E Bonita Ave,,Tue Sep 13 2016,34.096198,-117.736715
DUI Checkpoints,DUI Checkpoints,Woodland Hills,Desoto Ave And Burbank Blvd,,Sat Sep 10 2016,34.173329,-118.588216
DUI Checkpoints,DUI Checkpoints,Long Beach,Pch and Magnolia Ave,,Sat Sep 10 2016,33.789866,-118.198093
DUI Checkpoints,DUI Checkpoints,Panorama City,Van Nuys Blvd and Roscoe Blvd,8pm To 2am,Sat Sep 10 2016,34.221533,-118.448781
DUI Checkpoints,DUI Checkpoints,Claremont,Baseline Rd,,Fri Sep 9 2016,40.000112,-105.190638
DUI Checkpoints,DUI Checkpoints,Torrance,Prairie Ave and W 190th St,,Fri Sep 9 2016,33.858309,-118.343886
DUI Checkpoints,DUI Checkpoints,Downey,Imperial Hwy and Rives Ave,,Fri Sep 9 2016,33.926344,-118.156324
DUI Checkpoints,DUI Checkpoints,Paramount,Alondra Blvd and Orange Ave,,Fri Sep 9 2016,33.889058,-118.177521
DUI Checkpoints,DUI Checkpoints,Lancaster,10th St W and W Ave K 8,6pm To 2am,Fri Sep 9 2016,34.66763,-118.147825
DUI Checkpoints,DUI Checkpoints,Malibu,John Tyler Dr and Pch,,Fri Sep 9 2016,34.034174,-118.710017
DUI Checkpoints,DUI Checkpoints,Los Angeles,Whittier Blvd and S Lorena St,8pm To 1am,Fri Sep 9 2016,34.027792,-118.201004
DUI Checkpoints,DUI Checkpoints,Los Angeles,W Olympic Blvd and Sunbury St,7pm To 12am,Fri Sep 9 2016,34.04684,-118.269002
DUI Checkpoints,DUI Checkpoints,Inglewood,W Century Blvd and S Prairie Ave,,Sat Sep 3 2016,33.945463,-118.343925
DUI Checkpoints,DUI Checkpoints,Pacoima,Laurel Canyon Blvd and Osborne St,,Sat Oct 22 2016,34.246858,-118.419516
DUI Checkpoints,DUI Checkpoints,Los Angeles,N La Brea Ave and Rosewood Ave,,Sat Oct 22 2016,34.08027,-118.344075
DUI Checkpoints,DUI Checkpoints,Los Angeles,Sunset Blvd and N Orange Grove Ave,8pm To 1am,Fri Oct 21 2016,34.09807,-118.360366
DUI Checkpoints,DUI Checkpoints,Los Angeles,W Manchester Ave and Denver Ave,8pm To 1am,Fri Oct 21 2016,33.960031,-118.283908
DUI Checkpoints,DUI Checkpoints,Los Angeles,W Florence Ave and S Broadway,7pm To 12am,Fri Oct 21 2016,33.974673,-118.278315
DUI Checkpoints,DUI Checkpoints,North Hills,Parthenia St and Woodley Ave,,Sat Oct 15 2016,34.228388,-118.48513
DUI Checkpoints,DUI Checkpoints,Los Angeles,S La Cienega Blvd and Alvira St,,Fri Oct 14 2016,34.03365,-118.376215
DUI Checkpoints,DUI Checkpoints,Chatsworth,Topanga Canyon Blvd At San Jose St,,8pm To Midnight - Sat Oct 1 2016,34.260775,-118.606044
DUI Checkpoints,DUI Checkpoints,Panorama City,Roscoe Blvd At Noble Ave,8pm To 1am,Fri Sep 30 2016,34.22145,-118.461841
DUI Checkpoints,DUI Checkpoints,Huntington Park,Slauson Ave and Santa Fe Ave,7pm To 3am,Fri Sep 30 2016,33.989214,-118.230284
DUI Checkpoints,DUI Checkpoints,Los Angeles,Vermont Ave - Koreatown,,Thu Sep 29 2016,34.060635,-118.291675
DUI Checkpoints,DUI Checkpoints,Azusa,Azusa Ave and 2nd St,,Thu Sep 29 2016,34.124405,-117.907575
DUI Checkpoints,DUI Checkpoints,Bellflower,Lakewood Blvd and Flower St,,Thu Sep 29 2016,33.882014,-118.142607
DUI Checkpoints,DUI Checkpoints,Chatsworth,Topanga Canyon Blvd and San Jose St,,Sat Sep 24 2016,34.260775,-118.606044
DUI Checkpoints,DUI Checkpoints,Panorama City,Roscoe Blvd and Noble Ave,,Fri Sep 23 2016,34.22145,-118.461841
DUI Checkpoints,DUI Checkpoints,Palmdale,E Avenue S and 40th St E,,Fri Sep 23 2016,34.558108,-118.058542
DUI Checkpoints,DUI Checkpoints,Panorama City,Van Nuys Blvd and Roscoe Blvd,7pm To 12am,Sat Sep 17 2016,34.221533,-118.448781
DUI Checkpoints,DUI Checkpoints,Los Angeles,Sunset Blvd and Micheltorena St,8pm To 1am,Sat Jan 14 2017,34.087569,-118.275853
DUI Checkpoints,DUI Checkpoints,Pacoima,Laurel Canyon Blvd and Osborne St,8pm To 1am,Sat Jan 14 2017,34.246858,-118.419516
DUI Checkpoints,DUI Checkpoints,Carson,S Avalon Blvd and E Gardena Blvd,,Fri Jan 13 2017,33.882348,-118.264649
DUI Checkpoints,DUI Checkpoints,North Hills,Sepulveda Blvd and Parthenia St,8pm To 1am,Fri Jan 13 2017,34.228279,-118.467659
DUI Checkpoints,DUI Checkpoints,Los Angeles,S Vermont Ave and W 5th St,8pm To 1am,Fri Jan 13 2017,34.065427,-118.291646
DUI Checkpoints,DUI Checkpoints,Los Angeles,S La Brea Ave and Rodeo Rd,8pm To 1am,Sat Jan 7 2017,34.021584,-118.355613
DUI Checkpoints,DUI Checkpoints,Compton,Rosecrans Ave and Central Ave,,Fri Jan 6 2017,33.902861,-118.253496
DUI Checkpoints,DUI Checkpoints,Sherman Oaks,Ventura Blvd and Columbus Ave,8pm To 1am,Fri Jan 6 2017,34.153454,-118.464002
DUI Checkpoints,DUI Checkpoints,Pomona,W Mission Blvd and S White Ave,,Sat Dec 31 2017,34.054877,-117.758778
DUI Checkpoints,DUI Checkpoints,San Fernando,Laurel Canyon Blvd and Rinaldi St,,Sat Dec 31 2017,34.279862,-118.454522
DUI Checkpoints,DUI Checkpoints,Monrovia,S California Ave and Myrtle Ave,,Fri Dec 30 2016,34.116424,-118.001438
DUI Checkpoints,DUI Checkpoints,Los Angeles,W Olympic Blvd and L.a. Live Way,,Fri Dec 30 2016,34.046461,-118.268233
DUI Checkpoints,DUI Checkpoints,Lynwood,E Imperial Hwy and Jackson Ave,,Fri Dec 30 2016,33.931138,-118.189407
DUI Checkpoints,DUI Checkpoints,Los Angeles,Highland Ave and Franklin Ave,,Fri Dec 30 2016,34.10519,-118.337481
DUI Checkpoints,DUI Checkpoints,Sherman Oaks,Ventura Blvd and Columbus Ave,8pm To 2am,Sat Jul 23 2016,34.153454,-118.464002
DUI Checkpoints,DUI Checkpoints,Palmdale,Palmdale Blvd and 15th St,,Fri Jul 22 2016,34.57968,-118.102983
DUI Checkpoints,DUI Checkpoints,Los Angeles,S Western Ave and W 8th St,8pm To 2am,Fri Jul 22 2016,34.058041,-118.309091
DUI Checkpoints,DUI Checkpoints,Gardena,S Vermont Ave and W 135th St,7pm To 1am,Fri Jul 22 2016,33.909147,-118.291907
DUI Checkpoints,DUI Checkpoints,Pasadena,Lincoln Ave and N Orange Grove Blvd,,Fri Jul 22 2016,34.1557,-118.15479
DUI Checkpoints,DUI Checkpoints,Alhambra,Fremont Ave and Orange St,7pm To 3am,Fri Jul 22 2016,34.084051,-118.151877
DUI Checkpoints,DUI Checkpoints,Long Beach,E 7th St and Park Ave,,Sat Jul 16 2016,33.775354,-118.137369
DUI Checkpoints,DUI Checkpoints,Van Nuys,Roscoe Blvd and Haskell Ave,,Sat Jul 16 2016,34.221369,-118.476461
DUI Checkpoints,DUI Checkpoints,Los Angeles,La Cienega Boulevard and Alvira St,,Fri Jul 15 2016,34.03365,-118.376215
DUI Checkpoints,DUI Checkpoints,Lancaster,W Ave L and 28th St W,,Fri Jul 15 2016,34.66035,-118.18117
DUI Checkpoints,DUI Checkpoints,Los Angeles,W Slauson Ave and S Vermont Ave,,Fri Jul 15 2016,33.989111,-118.291487
DUI Checkpoints,DUI Checkpoints,Pomona,E Holt Ave and N Reservoir St,9pm To 3am,Fri Jul 15 2016,34.062835,-117.731732
DUI Checkpoints,DUI Checkpoints,Alhambra,Valley Blvd,,Sat Jul 9 2016,34.047118,-117.99273
DUI Checkpoints,DUI Checkpoints,Los Angeles,Beverly Blvd and N Vermont Ave,8pm To 2am,Sat Jul 9 2016,34.076334,-118.291691
DUI Checkpoints,DUI Checkpoints,Los Angeles,E 4th St and S State St,7pm To 1am,Sat Jul 9 2016,34.043114,-118.218491
DUI Checkpoints,DUI Checkpoints,West Hollywood,Beverly Blvd and N San Vicente Blvd,,Fri Jul 8 2016,34.076651,-118.379604
DUI Checkpoints,DUI Checkpoints,Claremont,Indian Hill Blvd and and W 1st St,,Fri Jul 8 2016,34.094682,-117.719252
DUI Checkpoints,DUI Checkpoints,Van Nuys,Sepulveda Blvd and Raymer St,8pm To 2am,Fri Jul 8 2016,34.214229,-118.466056
DUI Checkpoints,DUI Checkpoints,Glendale,San Fernando Rd and W Chevy Chase Dr,,Sat Aug 6 2016,34.133462,-118.262461
DUI Checkpoints,DUI Checkpoints,Van Nuys,Victory Blvd At Valjean Ave,8pm To 1am,Sat Aug 6 2016,34.186638,-118.48582
DUI Checkpoints,DUI Checkpoints,North Hills,Sepulveda Blvd and Parthenia St,8pm To 1am,Sat Aug 6 2016,34.228279,-118.467659
DUI Checkpoints,DUI Checkpoints,Los Angeles,Florence Ave. and S Central Ave,,Fri Aug 5 2016,33.974784,-118.256426
DUI Checkpoints,DUI Checkpoints,Pomona,Pomerado Rd and Oak Knoll Rd,,Fri Aug 5 2016,32.950038,-117.062499
DUI Checkpoints,DUI Checkpoints,Norwalk,Imperial Hwy and Bloomfield Av,,Fri Aug 5 2016,33.917093,-118.063848
DUI Checkpoints,DUI Checkpoints,Pomona,Garey Ave and E Holt Ave,,Fri Aug 5 2016,34.062377,-117.750292
DUI Checkpoints,DUI Checkpoints,Redondo Beach,Torrance Blvd and S Prospect Ave,,Fri Aug 5 2016,33.838762,-118.376252
DUI Checkpoints,DUI Checkpoints,Malibu,Legacy Park and Pch,7pm To 3am,Fri Aug 5 2016,34.035822,-118.688718
DUI Checkpoints,DUI Checkpoints,Long Beach,Artesia Blvd and Paramount Blvd,7pm To 3am,Sat Jul 30 2016,33.874619,-118.159983
DUI Checkpoints,DUI Checkpoints,La Puente,N Azusa Ave and E Temple Ave,,Fri Jul 29 2016,34.024723,-117.917699
DUI Checkpoints,DUI Checkpoints,Norwalk,Imperial Hwy and Bloomfield Ave,,Fri Jul 29 2016,33.917093,-118.063848
DUI Checkpoints,DUI Checkpoints,Los Angeles,Sunset Blvd and N Gower St,,Fri Jul 29 2016,34.098033,-118.322296
DUI Checkpoints,DUI Checkpoints,Norwalk,San Antonio Dr and Rosecrans Ave,,Fri Jul 29 2016,33.902259,-118.082671
DUI Checkpoints,DUI Checkpoints,Los Angeles,E Olympic Blvd and S Soto St,7pm To 1am,Fri Jul 29 2016,34.024285,-118.219858
DUI Checkpoints,DUI Checkpoints,Los Angeles,E Manchester Ave and Avalon Blvd,7pm To 1am,Fri Jul 29 2016,33.960091,-118.265114
DUI Checkpoints,DUI Checkpoints,Los Angeles,N Broadway and W Cesar E Chavez Ave,,Sat Jul 23 2016,34.058524,-118.240253
DUI Checkpoints,DUI Checkpoints,Long Beach,Ocean Blvd and Magnolia Ave,7pm To 3am,Sat Jul 23 2016,33.767374,-118.197984
DUI Checkpoints,DUI Checkpoints,Panorama City,Van Nuys Blvd and Roscoe Blvd,8pm To 2am,Sat Jul 23 2016,34.221533,-118.448781
DUI Checkpoints,DUI Checkpoints,Los Angeles,W Olympic Blvd and S La Brea Ave,,Fri Jun 24 2016,34.057227,-118.34591
DUI Checkpoints,DUI Checkpoints,Gardena,Redondob Beach Blvd and Western Ave,,Fri Jun 24 2016,33.888503,-118.309158
DUI Checkpoints,DUI Checkpoints,Whittier,Whittier Blvd and Norwalk Blvd,,Fri Jun 24 2016,33.989919,-118.064032
DUI Checkpoints,DUI Checkpoints,Palmdale,20th St W and Rancho Vista Blvd,,Fri Jun 24 2016,34.601719,-118.165468
DUI Checkpoints,DUI Checkpoints,Alhambra,S Atlantic Blvd and W Beacon St,7pm To 3am,Fri Jun 24 2016,34.085741,-118.134561
DUI Checkpoints,DUI Checkpoints,Bellflower,Lakewood Blvd and Flower St,,Thu Jun 23 2016,33.882014,-118.142607
DUI Checkpoints,DUI Checkpoints,Long Beach,Pch and E 7th St,,Sat Jun 18 2016,34.014238,-118.486171
